product_code,product_type,local_name,name,country,trade_unit,fca_cost_per_wu,packaging,packaging_weight,units_per_pack,packaging_cost,other_info,currency,created_at,updated_at
PR001,Produce,Acelga,Swiss Chard,Colombia,Kg,"2,500",Box,10,40,25000,,COP,,
PR002,Produce,Ahuyama,Calabaza (West Indian Pumpkin),Colombia,Kg,850,Box,10,10,8500,,COP,,
PR003,Produce,Ají Dulce,Sweet Mini Peppers,Colombia,Kg,"4,000",Box,10,50,40000,500g pack,COP,,
PR004,Produce,Ají Picante,Hot Chili Peppers,Colombia,Kg,"8,000",Box,10,50,80000,500g pack,COP,,
PR005,Produce,Apio,Celery,Colombia,Kg,"1,000",Box,10,25,10000,,COP,,
PR006,Produce,Arracacha,Arracacha Root,Colombia,Kg,"2,000",Box,10,20,20000,,COP,,
PR007,Produce,Arveja Verde,Green Peas,Colombia,Kg,"3,500",Box,10,20,35000,500g pack,COP,,
PR008,Produce,Berenjena,Eggplant,Colombia,Kg,"2,500",Box,10,30,25000,,COP,,
PR009,Produce,Broccoli,Broccoli,Colombia,Kg,"1,750",Box,10,40,17500,,COP,,
PR010,Produce,Calabacin Amarillo,Yellow Squash,Colombia,Kg,"1,000",Box,10,30,10000,,COP,,
PR011,Produce,Cebolla Blanca,White Onion,Colombia,Kg,"2,000",Box,10,40,20000,,COP,,
PR012,Produce,Cebolla Junca,Green Onions (Scallions),Colombia,Kg,"2,000",Box,10,40,20000,300g pack,COP,,
PR013,Produce,Cebolla Puerro,Leeks,Colombia,Kg,"6,000",Box,10,50,60000,,COP,,
PR014,Produce,Cebolla Roja,Red Onion,Colombia,Kg,"3,000",Box,10,40,30000,,COP,,
PR015,Produce,Chocolo Mazorca,Sweet Corn (Ears),Colombia,Kg,"8,000",Box,10,40,80000,,COP,,
PR016,Produce,Cilantro,Cilantro,Colombia,Kg,"1,500",Box,10,100,15000,bunch,COP,,
PR017,Produce,Cidra,Chayote Squash,Colombia,Kg,"1,000",Box,10,40,10000,,COP,,
PR018,Produce,Coliflor,Cauliflower,Colombia,Kg,"1,750",Box,10,50,17500,,COP,,
PR019,Produce,Espinaca,Spinach,Colombia,Kg,"2,000",Box,10,40,20000,,COP,,
PR020,Produce,Frijol verde,Fresh Green Beans,Colombia,Kg,"4,250",Box,10,40,42500,500g pack,COP,,
PR021,Produce,Habichuela,Green Beans,Colombia,Kg,"1,750",Box,10,40,17500,500g pack,COP,,
PR022,Produce,Jengibre,Ginger Root,Colombia,Kg,"9,000",Box,10,40,90000,,COP,,
PR023,Produce,Lechuga Batavia,Butterhead Lettuce,Colombia,Kg,"1,800",Box,10,20,18000,,COP,,
PR024,Produce,Lechuga Crespa,Green Leaf Lettuce,Colombia,Kg,"1,500",Box,10,20,15000,,COP,,
PR025,Produce,Papa Capira selecciin,Yellow Potatoes,Colombia,Kg,"2,000",Box,10,10,20000,1kg bag,COP,,
PR026,Produce,Papa Capira mediana seleccionada,Yellow Potatoes (Medium),Colombia,Kg,750,Box,10,10,7500,1kg bag,COP,,
PR027,Produce,Papa Capira regional,Yellow Potatoes (Regional),Colombia,Kg,"1,675",Box,10,10,16750,1kg bag,COP,,
PR028,Produce,Papa Capira Bogotana,Yellow Potatoes (Premium),Colombia,Kg,"1,600",Box,10,10,16000,1kg bag,COP,,
PR029,Produce,Papa Criolla,Creole Potatoes (Baby Yellow Potatoes),Colombia,Kg,"2,550",Box,10,20,25500,500g pbag,COP,,
PR030,Produce,Papa Nevada,Russet Potatoes,Colombia,Kg,"2,500",Box,10,10,25000,1kg bag,COP,,
PR031,Produce,Papa Purace,White Potatoes,Colombia,Kg,"1,500",Box,10,10,15000,,COP,,
PR032,Produce,Pepino Cohombro,Slicing Cucumber,Colombia,Kg,"1,950",Box,10,20,19500,,COP,,
PR033,Produce,Pepino Cohombro seleccion,Slicing Cucumber (Premium),Colombia,Kg,"3,300",Box,10,20,33000,,COP,,
PR034,Produce,Pepino Rellenar,Stuffing Cucumber,Colombia,Kg,"4,000",Box,10,20,40000,,COP,,
PR035,Produce,Perejil,Parsley,Colombia,Kg,"4,000",Box,10,50,40000,200g bunch,COP,,
PR036,Produce,Pimenton,Bell Pepper,Colombia,Kg,"3,900",Box,10,50,39000,,COP,,
PR037,Produce,Platano Hart,Plantain,Colombia,Kg,"2,950",Box,10,50,29500,,COP,,
PR038,Produce,Plátano Guineo,Green Banana,Colombia,Kg,"1,900",Box,10,60,19000,,COP,,
PR039,Produce,Rábano,Radish,Colombia,Kg,"2,000",Box,10,50,20000,,COP,,
PR040,Produce,Remolacha,Beets,Colombia,Kg,"2,500",Box,10,50,25000,,COP,,
PR041,Produce,Repollo Blanco,Green Cabbage,Colombia,Kg,"2,000",Box,10,8,20000,,COP,,
PR042,Produce,Tomate Chonto selección,Vine-Ripened Tomato (Premium),Colombia,Kg,"5,400",Box,10,25,54000,,COP,,
PR043,Produce,Tomate Chonto nacional,Vine-Ripened Tomato,Colombia,Kg,"4,000",Box,10,25,40000,,COP,,
PR044,Produce,Tomate Chonto regional,Vine-Ripened Tomato (Regional),Colombia,Kg,"4,000",Box,10,25,40000,,COP,,
PR045,Produce,Tomate Larga Vida extra,Long Shelf-Life Tomato (Premium),Colombia,Kg,"6,000",Box,10,50,60000,,COP,,
PR046,Produce,Tomate Larga Vida corriente,Long Shelf-Life Tomato,Colombia,Kg,"6,000",Box,10,50,60000,,COP,,
PR047,Produce,Tomate Riñón,Beefsteak Tomato,Colombia,Kg,"6,000",Box,10,20,60000,,COP,,
PR048,Produce,Yuca,Cassava,Colombia,Kg,"3,150",Box,10,10,31500,,COP,,
PR049,Produce,Zanahoria,Carrots,Colombia,Kg,500,Box,10,40,5000,,COP,,
PR050,Produce,Aguacate Hass,Hass Avocado,Colombia,Kg,"3,500",Box,10,50,35000,,COP,,
PR051,Produce,Aguacate Papelillo,Green Avocado (Florida Avocado),Colombia,Kg,"9,600",Box,10,25,96000,,COP,,
PR052,Produce,Banano Criollo,Burro Banana,Colombia,Kg,"1,800",Box,10,40,18000,,COP,,
PR053,Produce,Banano Urab�,Cavendish Banana,Colombia,Kg,"2,300",Box,10,40,23000,,COP,,
PR054,Produce,Breva,Fresh Fig (Green Fig),Colombia,Kg,"5,250",Box,10,20,52500,500g pack,COP,,
PR055,Produce,Coco San Blas,Coconut (Fresh Whole),Colombia,Kg,"6,000",Box,10,5,60000,,COP,,
PR056,Produce,Curuba Larga,Banana Passionfruit,Colombia,Kg,"3,000",Box,10,40,30000,,COP,,
PR057,Produce,Curuba Redonda (Gulupa),Purple Passionfruit,Colombia,Kg,"2,400",Box,10,40,24000,,COP,,
PR058,Produce,Fresa,Strawberries,Colombia,Kg,"10,750",Box,10,20,107500,500g pack,COP,,
PR059,Produce,Guanabana Catrica,Soursop (Fresh),Colombia,Kg,"4,750",Box,10,5,47500,,COP,,
PR060,Produce,Granadilla,Granadilla (Sweet Passionfruit),Colombia,Kg,"11,500",Box,10,40,115000,,COP,,
PR061,Produce,Guayaba Manzana,Apple Guava,Colombia,Kg,"5,200",Box,10,50,52000,,COP,,
PR062,Produce,Guayaba Pera,Pear Guava,Colombia,Kg,"2,500",Box,10,40,25000,,COP,,
PR063,Produce,Higo,Fig (Fresh),Colombia,Kg,"4,500",Box,10,20,45000,500g pack,COP,,
PR064,Produce,Limon Comun,Key Lime,Colombia,Kg,"3,000",Box,10,80,30000,,COP,,
PR065,Produce,Limon Mandarino,Calamondin / Mandarin Lime,Colombia,Kg,"3,500",Box,10,50,35000,,COP,,
PR066,Produce,Limon Tahiti,Tahitian Lime (Persian Lime),Colombia,Kg,"2,200",Box,10,100,22000,,COP,,
PR067,Produce,Lulo,Naranjilla,Colombia,Kg,"4,500",Box,10,50,45000,,COP,,
PR068,Produce,Mandarina Oneco,Tangerine (Oneco Variety),Colombia,Kg,"8,500",Box,10,40,85000,,COP,,
PR069,Produce,Mango Tommy,Tommy Atkins Mango,Colombia,Kg,"3,000",Box,10,40,30000,,COP,,
PR070,Produce,Maracuya Valluno,Yellow Passionfruit,Colombia,Kg,"3,000",Box,10,50,30000,,COP,,
PR071,Produce,Maracuya regional,Yellow Passionfruit (Regional),Colombia,Kg,"3,900",Box,10,50,39000,,COP,,
PR072,Produce,Melon,Cantaloupe,Colombia,Kg,"4,500",Box,10,5,45000,,COP,,
PR073,Produce,Melon Larga Vida,Long Shelf-Life Melon (Extended Shelf-Life Cantaloupe),Colombia,Kg,"4,500",Box,10,5,45000,,COP,,
PR074,Produce,Mora Castilla,Andean Blackberry,Colombia,Kg,"3,800",Box,10,20,38000,500g pack,COP,,
PR075,Produce,Mora Pantanillo,Wild Blackberry (Andean Type),Colombia,Kg,"3,800",Box,10,20,38000,500g pack,COP,,
PR076,Produce,Naranja Tangelo,Tangelo (Minneola),Colombia,Kg,"9,000",Box,10,40,90000,,COP,,
PR077,Produce,Naranja Valencia,Valencia Orange,Colombia,Kg,"3,200",Box,10,40,32000,,COP,,
PR078,Produce,Papaya Hawaiana,Sunrise Papaya (Hawaiian Papaya),Colombia,Kg,"2,150",Box,10,5,21500,,COP,,
PR079,Produce,Papaya Maradol,Maradol Papaya,Colombia,Kg,"3,700",Box,10,5,37000,,COP,,
PR080,Produce,Pina Oro Miel,Golden Pineapple (Honey Gold),Colombia,Kg,"3,900",Box,10,5,39000,,COP,,
PR081,Produce,Pitahaya,Dragon Fruit,Colombia,Kg,"8,500",Box,10,40,85000,,COP,,
PR082,Produce,Sandia,Watermelon,Colombia,Kg,"1,400",Box,10,5,14000,,COP,,
PR083,Produce,Tomate de Arbol,Tamarillo,Colombia,Kg,"2,600",Box,10,50,26000,,COP,,
PR084,Produce,Uchuva/Capacho,Golden Berries (Cape Gooseberries),Colombia,Kg,"5,000",Box,10,20,50000,500g pack,COP,,
